beta,day,prop_infected
0.1,10,0.00029458990387363636
0.1,11,0.0002704475163935045
0.1,12,0.00024764921907398266
0.1,13,0.00022627530619046189
0.1,14,0.000206355036461394
0.1,15,0.00018788034400405416
0.1,16,0.00017081645616989769
0.1,17,0.00015511007201695525
0.1,18,0.00014069562091055445
0.1,19,0.0001275000136818052
0.1,20,0.00011544621343991547
0.1,21,0.0001044558851523111
0.1,22,9.44513289770855e-05
0.1,23,8.535685925940693e-05
0.1,24,7.709975685283209e-05
0.1,25,6.961089521283764e-05
0.1,26,6.282511910720569e-05
0.1,27,5.668143765718632e-05
0.1,28,5.112307985507859e-05
0.1,29,4.609744997191272e-05
0.1,30,4.155601179374673e-05
0.1,31,3.7454123944312907e-05
0.1,32,3.3750843296544134e-05
0.1,33,3.0408709351817097e-05
0.1,34,2.739351923921309e-05
0.1,35,2.4674100471038977e-05
0.1,36,2.2222086636651556e-05
0.1,37,2.0011699706045805e-05
0.1,38,1.8019541453694263e-05
0.1,39,1.6224395627083837e-05
0.1,40,1.4607041814022223e-05
0.1,41,1.3150081461093958e-05
0.1,42,1.1837776125434132e-05
0.1,43,1.0655897773840984e-05
0.1,44,9.591590753947268e-06
0.1,45,8.633244933419933e-06
0.1,46,7.770379420575013e-06
0.1,47,6.993536232101313e-06
0.1,48,6.2941832519639186e-06
0.1,49,5.664625823136781e-06
0.1,50,5.097926325262052e-06
0.1,51,4.587831112537587e-06
0.1,52,4.128704213935278e-06
0.1,53,3.715467229846377e-06
0.1,54,3.343544893620184e-06
0.1,55,3.0088158018549374e-06
0.1,56,2.707567852718849e-06
0.1,57,2.4364579663078373e-06
0.1,58,2.19247569458217e-06
0.1,59,1.9729103604291256e-06
0.1,60,1.7753213956605008e-06
0.1,61,1.5975115761542189e-06
0.1,62,1.4375028788408503e-06
0.1,63,1.2935147098223947e-06
0.1,64,1.1639442756332653e-06
0.1,65,1.0473488905788772e-06
0.1,66,9.42430032299757e-07
0.1,67,8.48018975303521e-07
0.1,68,7.630638482841774e-07
0.1,69,6.866179757108955e-07
0.1,70,6.178293775190821e-07
0.1,71,5.559313128753457e-07
0.1,72,5.002337650109823e-07
0.1,73,4.501157741176712e-07
0.1,74,4.0501853436061844e-07
0.1,75,3.644391792694934e-07
0.1,76,3.2792518719168664e-07
0.1,77,2.9506934520566935e-07
0.1,78,2.6550521595921077e-07
0.1,79,2.389030573773787e-07
0.1,80,2.1496615013319462e-07
0.1,81,1.9342749223948609e-07
0.1,82,1.740468241495023e-07
0.1,83,1.5660795138781713e-07
0.1,84,1.4091633500980373e-07
0.1,85,1.2679692314192387e-07
0.1,86,1.1409219951747943e-07
0.1,87,1.0266042732164601e-07
0.1,88,9.237406882121934e-08
0.1,89,8.311836320179052e-08
0.1,90,7.479004678904737e-08
0.1,91,6.729620141058379e-08
0.1,92,6.05532180771604e-08
0.1,93,5.448586444330935e-08
0.1,94,4.9026445660519036e-08
0.1,95,4.411404927460606e-08
0.1,96,3.969386575368545e-08
0.1,97,3.571657707466661e-08
0.1,98,3.213780655370415e-08
0.1,99,2.8917623787875948e-08
0.12,0,0.0005
0.12,1,0.00051994
0.12,2,0.0005262691675511359
0.12,3,0.000522481101553081
0.12,4,0.0005113089321988672
0.12,5,0.000494882342778651
0.12,6,0.00047485279608670036
0.12,7,0.00045249335518702155
0.12,8,0.0004287782079906839
0.12,9,0.0004044459810274622
0.12,10,0.0003800501086984488
0.12,11,0.000355998869169291
0.12,12,0.00033258717410178027
0.12,13,0.0003100217803820558
0.12,14,0.0002884412568931166
0.12,15,0.00026793177140332187
0.12,16,0.0002485395483661434
0.12,17,0.00023028067710213168
0.12,18,0.00021314881286437626
0.12,19,0.0001971212037961326
0.12,20,0.00018216338927216455
0.12,21,0.00016823284517285345
0.12,22,0.0001552817957519703
0.12,23,0.00014325936710933568
0.12,24,0.00013211322161607984
0.12,25,0.00012179078416132676
0.12,26,0.00011224014835395115
0.12,27,0.00010341073266915741
0.12,28,9.52537420553258e-05
0.12,29,8.772247897477873e-05
0.12,30,8.077253865340438e-05
0.12,31,7.436191598711206e-05
0.12,32,6.845104572102938e-05
0.12,33,6.300279287889217e-05
0.12,34,5.798240673436713e-05
0.12,35,5.3357448690563014e-05
0.12,36,4.9097702114863774e-05
0.12,37,4.5175070340504824e-05
0.12,38,4.156346759578152e-05
0.12,39,3.823870647796289e-05
0.12,40,3.517838468922383e-05
0.12,41,3.236177304618133e-05
0.12,42,2.976970622299954e-05
0.12,43,2.7384477258663485e-05
0.12,44,2.518973652651136e-05
0.12,45,2.3170395608215132e-05
0.12,46,2.1312536318981795e-05
0.12,47,1.9603324982974313e-05
0.12,48,1.8030931947610997e-05
0.12,49,1.6584456244378793e-05
0.12,50,1.5253855245647967e-05
0.12,51,1.4029879126594685e-05
0.12,52,1.2904009914680258e-05
0.12,53,1.1868404893005168e-05
0.12,54,1.0915844115731423e-05
0.12,55,1.0039681791664761e-05
0.12,56,9.2338012944522e-06
0.12,57,8.492573563463417e-06
0.12,58,7.81081866733859e-06
0.12,59,7.183770311666271e-06
0.12,60,6.607043082736799e-06
0.12,61,6.076602230367553e-06
0.12,62,5.5887358040884745e-06
0.12,63,5.140028968265081e-06
0.12,64,4.727340332841564e-06
0.12,65,4.347780147178828e-06
0.12,66,3.998690214851171e-06
0.12,67,3.677625397190685e-06
0.12,68,3.382336582793516e-06
0.12,69,3.1107550091079494e-06
0.12,70,2.8609778306050742e-06
0.12,71,2.631254835892818e-06
0.12,72,2.4199762234848823e-06
0.12,73,2.225661352794114e-06
0.12,74,2.0469483933052676e-06
0.12,75,1.8825848008173272e-06
0.12,76,1.7314185551541989e-06
0.12,77,1.5923900988490288e-06
0.12,78,1.4645249210358492e-06
0.12,79,1.346926735156745e-06
0.12,80,1.2387712031365338e-06
0.12,81,1.1393001624125154e-06
0.12,82,1.0478163156556634e-06
0.12,83,9.636783462020756e-07
0.12,84,8.862964251488785e-07
0.12,85,8.151280787752274e-07
0.12,86,7.496743874436089e-07
0.12,87,6.8947648943526e-07
0.12,88,6.34112365291039e-07
0.12,89,5.831938801793664e-07
0.12,90,5.363640636087768e-07
0.12,91,4.932946074561219e-07
0.12,92,4.536835648036416e-07
0.12,93,4.1725323347921184e-07
0.12,94,3.8374820948359334e-07
0.12,95,3.529335966752176e-07
0.12,96,3.2459336017505813e-07
0.12,97,2.985288119589388e-07
0.12,98,2.7455721802913355e-07
0.12,99,2.5251051740768257e-07
0.14,0,0.0005
0.14,1,0.00053993
0.14,2,0.000563440197754628
0.14,3,0.000574321338455367
0.14,4,0.0005755757457338132
0.14,5,0.0005695767931161919
0.14,6,0.0005581963781832306
0.14,7,0.0005429068045328928
0.14,8,0.0005248621953516083
0.14,9,0.0005049635373746633
0.14,10,0.0004839106340053625
0.14,11,0.00046224359036293084
0.14,12,0.0004403759282387582
0.14,13,0.0004186210091177343
0.14,14,0.00039721310757254657
0.14,15,0.0003763242086690713
0.14,16,0.00035607738809440904
0.14,17,0.0003365574617869151
0.14,18,0.00031781945431066537
0.14,19,0.00029989532519589197
0.14,20,0.0002827993044585733
0.14,21,0.0002665321181137844
0.14,22,0.0002510843281863777
0.14,23,0.00023643896668127344
0.14,24,0.0002225736069498551
0.14,25,0.0002094619870752922
0.14,26,0.00019707527685534017
0.14,27,0.0001853830615321218
0.14,28,0.00017435410068124992
0.14,29,0.00016395690888874566
0.14,30,0.00015416019542261998
0.14,31,0.00014493319257399
0.14,32,0.00013624589632202006
0.14,33,0.0001280692381652777
0.14,34,0.00012037520311726172
0.14,35,0.00011313690579228709
0.14,36,0.00010632863405472592
0.14,37,9.99258677459147e-05
0.14,38,9.390527843974122e-05
0.14,39,8.824471493074703e-05
0.14,40,8.292317816411267e-05
0.14,41,7.792078852441304e-05
0.14,42,7.321874776897256e-05
0.14,43,6.879929738956842e-05
0.14,44,6.464567478717635e-05
0.14,45,6.0742068327676e-05
0.14,46,5.707357209533874e-05
0.14,47,5.362614096224129e-05
0.14,48,5.0386546434876976e-05
0.14,49,4.7342333615693293e-05
0.14,50,4.448177952029195e-05
0.14,51,4.1793852915170936e-05
0.14,52,3.9268175781839284e-05
0.14,53,3.689498646743871e-05
0.14,54,3.46651045469024e-05
0.14,55,3.2569897394966774e-05
0.14,56,3.0601248446269614e-05
0.14,57,2.875152710691619e-05
0.14,58,2.7013560270156285e-05
0.14,59,2.5380605381300364e-05
0.14,60,2.384632499200394e-05
0.14,61,2.240476274100334e-05
0.14,62,2.105032069684639e-05
0.14,63,1.9777737997773878e-05
0.14,64,1.858207072439198e-05
0.14,65,1.745867294191031e-05
0.14,66,1.6403178850331e-05
0.14,67,1.5411485982923916e-05
0.14,68,1.4479739395504872e-05
0.14,69,1.3604316791364183e-05
0.14,70,1.2781814529107227e-05
0.14,71,1.2009034463117674e-05
0.14,72,1.1282971568799667e-05
0.14,73,1.0600802307169177e-05
0.14,74,9.95987368572606e-06
0.14,75,9.35769297483182e-06
0.14,76,8.791918041032997e-06
0.14,77,8.260348260899591e-06
0.14,78,7.760915980987467e-06
0.14,79,7.291678491481286e-06
0.14,80,6.85081048292948e-06
0.14,81,6.436596957245968e-06
0.14,82,6.047426565826168e-06
0.14,83,5.681785349209791e-06
0.14,84,5.338250854222715e-06
0.14,85,5.015486605947821e-06
0.14,86,4.712236913213681e-06
