day,alpha,prop_infected
73,0.54,0.00013059510122266865
74,0.54,0.00011085402010502807
75,0.54,9.409774017996965e-05
76,0.54,7.987485241508092e-05
77,0.54,6.780223357773722e-05
78,0.54,5.755471491018723e-05
79,0.54,4.885631371319416e-05
80,0.54,4.147279157243365e-05
81,0.54,3.5205338607185e-05
82,0.54,2.9885213413039163e-05
83,0.54,2.5369194105446814e-05
84,0.54,2.1535717729029973e-05
85,0.54,1.8281603858968498e-05
86,0.54,1.5519273980065027e-05
87,0.54,1.3174391607525182e-05
88,0.54,1.1183859469552919e-05
89,0.54,9.494119710462349e-06
90,0.54,8.059711253362156e-06
91,0.54,6.8420454038550395e-06
92,0.54,5.808366667744857e-06
93,0.54,4.930870755388821e-06
94,0.54,4.185955988021134e-06
95,0.54,3.55358792167631e-06
96,0.54,3.0167600595060206e-06
97,0.54,2.5610361158550983e-06
98,0.54,2.174161495492505e-06
99,0.54,1.8457335183298029e-06
100,0.54,1.5669215042497378e-06
1,0.56,0.001
2,0.56,0.0013993999999999999
3,0.56,0.0019684567364370398
4,0.56,0.0027769015969982963
5,0.56,0.003922683984462506
6,0.56,0.005542669213513441
7,0.56,0.007826701079664182
8,0.56,0.011035363039961023
9,0.56,0.015520943313528334
10,0.56,0.021749170821910854
11,0.56,0.030315367198912074
12,0.56,0.041941645591496185
13,0.56,0.05743102382550422
14,0.56,0.077541776609928
15,0.56,0.10274029546720004
16,0.56,0.132815705806602
17,0.56,0.166427669205386
18,0.56,0.20081791574373564
19,0.56,0.23204567944344634
20,0.56,0.2559658672017774
21,0.56,0.2696255463333157
22,0.56,0.27223306500302
23,0.56,0.2650785229004548
24,0.56,0.25064020586813485
25,0.56,0.23160337126312247
26,0.56,0.2102598903135151
27,0.56,0.18830993338443724
28,0.56,0.16689537827517037
29,0.56,0.1467164185459407
30,0.56,0.1281544436682832
31,0.56,0.11137373323163735
32,0.56,0.096397495356817
33,0.56,0.08316178970573154
34,0.56,0.07155252153611334
35,0.56,0.0614301697753457
36,0.56,0.05264588739304239
37,0.56,0.04505164682456267
38,0.56,0.0385063362597313
39,0.56,0.032879143358129206
40,0.56,0.028051153631833678
41,0.56,0.023915801176122173
42,0.56,0.02037860647254542
43,0.56,0.017356494599816783
44,0.56,0.014776889182508232
45,0.56,0.012576709822224133
46,0.56,0.01070135443263604
47,0.56,0.0091037163976564
48,0.56,0.007743265271649659
49,0.56,0.006585205674995701
50,0.56,0.005599719890923207
51,0.56,0.004761293891022843
52,0.56,0.004048123026459841
53,0.56,0.003441591667774443
54,0.56,0.002925820137247317
55,0.56,0.0024872719949177702
56,0.56,0.0021144148665888374
57,0.56,0.0017974283728033618
58,0.56,0.001527953220213328
59,0.56,0.001298876077584217
60,0.56,0.0011041454308015756
61,0.56,0.0009386141656057083
62,0.56,0.0007979051464795138
63,0.56,0.0006782965363839676
64,0.56,0.0005766240314171646
65,0.56,0.0004901975668834618
66,0.56,0.0004167303886713019
67,0.56,0.0003542786793877085
68,0.56,0.0003011901860925092
69,0.56,0.0002560605196124389
70,0.56,0.00021769598813728002
71,0.56,0.00018508199375195326
72,0.56,0.00015735616310741138
73,0.56,0.00013378550563306966
74,0.56,0.00011374699727588632
75,0.56,9.671107713412822e-05
76,0.56,8.222762066067539e-05
77,0.56,6.991401819421946e-05
78,0.56,5.944504304546387e-05
79,0.56,5.054424061031846e-05
80,0.56,4.297661020180863e-05
81,0.56,3.654238551731947e-05
82,0.56,3.10717487715366e-05
83,0.56,2.6420338284549835e-05
84,0.56,2.246543036577335e-05
85,0.56,1.910269422978835e-05
86,0.56,1.624343389092775e-05
87,0.56,1.3812243910815664e-05
88,0.56,1.1745016859035766e-05
89,0.56,9.987249682661232e-06
90,0.56,8.492604113157915e-06
91,0.56,7.221682979788386e-06
92,0.56,6.140990026184841e-06
93,0.56,5.222045693466726e-06
94,0.56,4.4406354685538255e-06
95,0.56,3.776170910134306e-06
96,0.56,3.211146450533439e-06
97,0.56,2.7306776088881124e-06
98,0.56,2.3221084070213794e-06
99,0.56,1.974677611540356e-06
100,0.56,1.6792349826388962e-06
1,0.5800000000000001,0.001
2,0.5800000000000001,0.0013993999999999999
3,0.5800000000000001,0.0019720452286727196
4,0.5800000000000001,0.0027903839320324248
5,0.5800000000000001,0.003956693012781469
6,0.5800000000000001,0.005614583888556724
7,0.5800000000000001,0.007964182338693063
8,0.5800000000000001,0.011281339965081566
9,0.5800000000000001,0.01594027875908033
10,0.5800000000000001,0.022436820884678504
11,0.5800000000000001,0.031404789055823126
12,0.5800000000000001,0.04361000231791519
13,0.5800000000000001,0.059893908421855296
14,0.5800000000000001,0.08102508381539754
15,0.5800000000000001,0.1074136373550269
16,0.5800000000000001,0.13867900945427755
17,0.5800000000000001,0.17317340386743316
18,0.5800000000000001,0.20774751315890208
19,0.5800000000000001,0.23815679320225613
20,0.5800000000000001,0.2602579245618397
21,0.5800000000000001,0.27148074032594355
22,0.5800000000000001,0.2716124415869272
23,0.5800000000000001,0.26242025819983966
24,0.5800000000000001,0.24659640368047314
25,0.5800000000000001,0.22681039575587103
26,0.5800000000000001,0.20522243575768145
27,0.5800000000000001,0.18337700461940012
28,0.5800000000000001,0.1622814971374962
29,0.5800000000000001,0.1425356037088849
30,0.5800000000000001,0.1244519533291979
31,0.5800000000000001,0.10815092099886003
32,0.5800000000000001,0.09362963708765068
33,0.5800000000000001,0.08081019136514901
34,0.5800000000000001,0.06957240396192015
35,0.5800000000000001,0.059775594334745843
36,0.5800000000000001,0.051272677136881
37,0.5800000000000001,0.04391898518752564
38,0.5800000000000001,0.03757751525878191
39,0.5800000000000001,0.03212178095948673
40,0.5800000000000001,0.027437093178638676
41,0.5800000000000001,0.02342083237929615
42,0.5800000000000001,0.019982097709272503
43,0.5800000000000001,0.017040992893661473
44,0.5800000000000001,0.014527722090768594
45,0.5800000000000001,0.01238160892609363
46,0.5800000000000001,0.010550110732027333
47,0.5800000000000001,0.008987871958909798
48,0.5800000000000001,0.007655841809800789
49,0.5800000000000001,0.0065204685923473445
50,0.5800000000000001,0.005552975114188013
51,0.5800000000000001,0.004728714297165431
52,0.5800000000000001,0.0040266010869540615
53,0.5800000000000001,0.003428615016285712
54,0.5800000000000001,0.002919366974511943
55,0.5800000000000001,0.0024857235207919703
56,0.5800000000000001,0.002116482231116335
57,0.5800000000000001,0.001802091940093316
58,0.5800000000000001,0.0015344122259797488
59,0.5800000000000001,0.001306507025367613
60,0.5800000000000001,0.001112467809610671
61,0.5800000000000001,0.0009472622821895448
62,0.5800000000000001,0.0008066050495354351
63,0.5800000000000001,0.0006868471695221891
64,0.5800000000000001,0.0005848818888931652
65,0.5800000000000001,0.0004980642433902744
66,0.5800000000000001,0.00042414251424671056
67,0.5800000000000001,0.0003611998149989406
68,0.5800000000000001,0.00030760432679039136
69,0.5800000000000001,0.0002619669121658004
70,0.5800000000000001,0.0002231050204206364
71,0.5800000000000001,0.00019001195531332022
72,0.5800000000000001,0.00016183071154523827
73,0.5800000000000001,0.0001378317027447779
74,0.5800000000000001,0.00011739380333343344
75,0.5800000000000001,9.998821188599796e-05
76,0.5800000000000001,8.516471642730659e-05
77,0.5800000000000001,7.254000428470849e-05
78,0.5800000000000001,6.17877121583832e-05
79,0.5800000000000001,5.26299572958271e-05
80,0.5800000000000001,4.483012919638757e-05
81,0.5800000000000001,3.818675410204055e-05
82,0.5800000000000001,3.25282724888554e-05
83,0.5800000000000001,2.7708593577012263e-05
84,0.5800000000000001,2.3603311139439406e-05
85,0.5800000000000001,2.010648213445667e-05
86,0.5800000000000001,1.7127884363859684e-05
87,0.5800000000000001,1.4590681846479598e-05
88,0.5800000000000001,1.2429437223894406e-05
89,0.5800000000000001,1.0588419556977572e-05
90,0.5800000000000001,9.020163565540381e-06
91,0.5800000000000001,7.684242909549583e-06
92,0.5800000000000001,6.546225680447822e-06
93,0.5800000000000001,5.576785010634264e-06
94,0.5800000000000001,4.750941742118607e-06
95,0.5800000000000001,4.047419527191076e-06
96,0.5800000000000001,3.4480956543601844e-06
97,0.5800000000000001,2.9375333781101134e-06
98,0.5800000000000001,2.502583646134652e-06
99,0.5800000000000001,2.1320459178337456e-06
100,0.5800000000000001,1.8163792999838295e-06
1,0.6000000000000001,0.001
2,0.6000000000000001,0.0013993999999999999
3,0.6000000000000001,0.0019756337209084
4,0.6000000000000001,0.002804037572817121
