recovery,day,prop_infected
6,79,0.024501409457922698
6,80,0.022491029491293578
6,81,0.020631622981230918
6,82,0.018914252948571256
6,83,0.01733007440495658
6,84,0.015870431002192882
6,85,0.014526928736822911
6,86,0.013291490382109958
6,87,0.012156393899554916
6,88,0.01111429767464753
6,89,0.010158255038405613
6,90,0.009281720184148138
6,91,0.00847854727113923
6,92,0.007742984224036099
6,93,0.007069662488626636
6,94,0.006453583788248473
6,95,0.0058901047390196555
6,96,0.005374920022755571
6,97,0.004904044681284008
6,98,0.004473795981944644
6,99,0.004080775208666564
7,0,0.0005
7,1,0.0007284214285714286
7,2,0.0009711364914048674
7,3,0.0012333968044566928
7,4,0.0015208204711603015
7,5,0.0018395049885677139
7,6,0.002196146538310512
7,7,0.002598167146105836
7,8,0.003053850990602015
7,9,0.0035724908564811458
7,10,0.0041645453197755155
7,11,0.004841806676917125
7,12,0.005617578822375492
7,13,0.006506863167752585
7,14,0.00752654918696514
7,15,0.008695604160566134
7,16,0.010035254055986126
7,17,0.011569144089578102
7,18,0.0133234632440608
7,19,0.01532701175858037
7,20,0.017611184323544086
7,21,0.020209834463870546
7,22,0.02315897763160485
7,23,0.026496282385008146
7,24,0.030260291647625462
7,25,0.0344893109072128
7,26,0.039219899500447734
7,27,0.044484907761318554
7,28,0.050311020417189184
7,29,0.056715799231977546
7,30,0.06370426929575068
7,31,0.07126516589876115
7,32,0.07936705184366896
7,33,0.08795462237937066
7,34,0.09694562350669335
7,35,0.10622889774593622
7,36,0.11566411089562526
7,37,0.12508367242339646
7,38,0.13429721511458653
7,39,0.14309873758783107
7,40,0.15127615530239943
7,41,0.15862260419773294
7,42,0.1649484768720371
7,43,0.17009293515969498
7,44,0.1739336087165881
7,45,0.17639338574685282
7,46,0.17744359868639534
7,47,0.1771034199880106
7,48,0.17543579832071687
7,49,0.17254067755569355
7,50,0.16854648093874414
7,51,0.16360089293586294
7,52,0.1578618596929066
7,53,0.15148951248096082
7,54,0.14463946027969846
7,55,0.13745765090906553
7,56,0.13007679907743036
7,57,0.12261423894274984
7,58,0.11517097749808736
7,59,0.10783169325510193
7,60,0.10066542857896979
7,61,0.09372675012166903
7,62,0.08705718896048967
7,63,0.0806868122102276
7,64,0.07463581590656383
7,65,0.06891606208069768
7,66,0.06353251007175009
7,67,0.058484513238496585
7,68,0.05376696792001606
7,69,0.049371312608349475
7,70,0.045286382746050666
7,71,0.04149913119813795
7,72,0.03799522700541876
7,73,0.034759546104472815
7,74,0.03177656776936708
7,75,0.029030689948083645
7,76,0.02650647569463306
7,77,0.02418884172245868
7,78,0.022063198854467815
7,79,0.020115552904775957
7,80,0.018332573350145338
7,81,0.01670163606562086
7,82,0.015210845423802829
7,83,0.013849040194803944
7,84,0.01260578693169351
7,85,0.011471363877503207
7,86,0.010436737875775317
7,87,0.00949353629731042
7,88,0.008634015601194674
7,89,0.007851027818698526
7,90,0.00713798597525001
7,91,0.006488829240233948
7,92,0.00589798840957635
7,93,0.0053603521755451675
7,94,0.004871234516375995
7,95,0.004426343440429227
7,96,0.004021751241515179
7,97,0.0036538663603166116
7,98,0.003319406898566523
7,99,0.0030153757953458246
8,0,0.0005
8,1,0.00073735
8,2,0.0009973093748615
8,3,0.0012861131899940292
8,4,0.0016107674477274909
8,5,0.0019792102860379922
8,6,0.0024004928910123396
8,7,0.002884982696750941
8,8,0.003444591302216024
8,9,0.004093029192979183
8,10,0.0048460887232234205
8,11,0.005721955764083335
8,12,0.006741548792945826
8,13,0.007928881770988796
8,14,0.009311443663799258
8,15,0.010920582573672826
8,16,0.012791875787394626
8,17,0.014965458176633034
8,18,0.017486269899232524
8,19,0.020404169901186462
8,20,0.02377384419320973
8,21,0.027654417591157117
8,22,0.0321086556385479
8,23,0.0372016220293776
8,24,0.0429986399896953
8,25,0.04956239998943594
8,26,0.05694906973829067
8,27,0.06520330716746112
8,28,0.0743521660919779
8,29,0.08439802955775111
8,30,0.09531091383496684
8,31,0.10702075021382224
8,32,0.11941054472851946
8,33,0.1323115823176333
8,34,0.14550199792416346
8,35,0.15870998220744506
8,36,0.17162253511810927
8,37,0.18389999189075068
8,38,0.19519558555456443
8,39,0.20517825783399532
8,40,0.213556057130325
8,41,0.22009704912758665
