day,lambda,value,group
76,1.6,0.0017361810966620354,misinformed
77,1.6,0.001531321730233889,misinformed
78,1.6,0.0013506240515299846,misinformed
79,1.6,0.0011912491167366574,misinformed
80,1.6,0.0010506875200183632,misinformed
81,1.6,0.0009267223609488436,misinformed
82,1.6,0.00081739603532296,misinformed
83,1.6,0.0007209805462437046,misinformed
84,1.6,0.0006359510302972375,misinformed
85,1.6,0.0005609622010445668,misinformed
86,1.6,0.0004948274256765721,misinformed
87,1.6,0.0004365001680841515,misinformed
88,1.6,0.00038505755104235883,misinformed
89,1.6,0.00033968581045834155,misinformed
90,1.6,0.0002996674348295389,misinformed
91,1.6,0.000264369802625169,misinformed
92,1.6,0.000233235148872334,misinformed
93,1.6,0.00020577170958069189,misinformed
94,1.6,0.00018154590866702316,misinformed
95,1.6,0.00016017546670927873,misinformed
96,1.6,0.00014132332418668734,misinformed
97,1.6,0.00012469228390017944,misinformed
98,1.6,0.00011002028808894196,misinformed
99,1.6,9.70762554495189e-05,misinformed
100,1.6,8.565641191410083e-05,misinformed
1,1.8,0.0005,misinformed
2,1.8,0.00066973,misinformed
3,1.8,0.0008645636764507639,misinformed
4,1.8,0.001092297361657771,misinformed
5,1.8,0.001361896539425337,misinformed
6,1.8,0.001683816751677467,misinformed
7,1.8,0.0020703603662705645,misinformed
8,1.8,0.0025360737018649605,misinformed
9,1.8,0.003098185994942422,misinformed
10,1.8,0.003777086839927355,misinformed
11,1.8,0.004596831134933845,misinformed
12,1.8,0.005585649040142101,misinformed
13,1.8,0.006776421525095519,misinformed
14,1.8,0.00820705803578301,misinformed
15,1.8,0.009920679932987555,misinformed
16,1.8,0.011965470418666163,misinformed
17,1.8,0.014393998930698305,misinformed
18,1.8,0.017261768846682797,misinformed
19,1.8,0.02062468088815345,misinformed
20,1.8,0.02453506903557901,misinformed
21,1.8,0.029035981887983127,misinformed
22,1.8,0.03415349560561493,misinformed
23,1.8,0.03988711118767427,misinformed
24,1.8,0.0461987612349594,misinformed
25,1.8,0.05300164551692244,misinformed
26,1.8,0.06015095906753784,misinformed
27,1.8,0.06743935615643147,misinformed
28,1.8,0.07460032841492166,misinformed
29,1.8,0.08132209605703235,misinformed
30,1.8,0.08727277834231188,misinformed
31,1.8,0.09213463909324612,misinformed
32,1.8,0.09564190425503254,misinformed
33,1.8,0.09761439180331462,misinformed
34,1.8,0.09797927902461903,misinformed
35,1.8,0.09677613679215456,misinformed
36,1.8,0.0941449117762517,misinformed
37,1.8,0.09030095521709952,misinformed
38,1.8,0.08550377064052,misinformed
39,1.8,0.08002625014705336,misinformed
40,1.8,0.07412935140380314,misinformed
41,1.8,0.06804460105401369,misinformed
42,1.8,0.061964538903982035,misinformed
43,1.8,0.05603977248300821,misinformed
44,1.8,0.05038072781743954,misinformed
45,1.8,0.04506221896601656,misinformed
46,1.8,0.04012931934626292,misinformed
47,1.8,0.03560347135788232,misinformed
48,1.8,0.03148818356983541,misinformed
49,1.8,0.02777398240194389,misinformed
50,1.8,0.02444250184880008,misinformed
51,1.8,0.021469726885066875,misinformed
52,1.8,0.018828476489763317,misinformed
53,1.8,0.016490241628759145,misinformed
54,1.8,0.014426498243824488,misinformed
55,1.8,0.012609606630486355,misinformed
56,1.8,0.011013393839193024,misinformed
57,1.8,0.00961349926341184,misinformed
58,1.8,0.008387547767904362,misinformed
59,1.8,0.007315200698610096,misinformed
60,1.8,0.00637812330238242,misinformed
61,1.8,0.005559897464044359,misinformed
62,1.8,0.004845901033164678,misinformed
63,1.8,0.004223169077584812,misinformed
64,1.8,0.003680247866816532,misinformed
65,1.8,0.0032070489794495866,misinformed
66,1.8,0.002794708404328507,misinformed
67,1.8,0.0024354536650191927,misinformed
68,1.8,0.002122480678484986,misinformed
69,1.8,0.0018498411329454588,misinformed
70,1.8,0.001612340535897931,misinformed
71,1.8,0.0014054466636801138,misinformed
72,1.8,0.001225207879698028,misinformed
73,1.8,0.0010681806350631557,misinformed
74,1.8,0.0009313653897155955,misinformed
75,1.8,0.0008121501696794782,misinformed
76,1.8,0.0007082609890292533,misinformed
77,1.8,0.0006177184005421146,misinformed
78,1.8,0.0005387994876915126,misinformed
79,1.8,0.0004700046661721816,misinformed
80,1.8,0.00041002872113372646,misinformed
81,1.8,0.00035773556380399457,misinformed
82,1.8,0.00031213624633020306,misinformed
83,1.8,0.0002723698253320244,misinformed
84,1.8,0.000237686712249373,misinformed
85,1.8,0.00020743419184172831,misinformed
86,1.8,0.00018104382915921477,misinformed
87,1.8,0.00015802052011641062,misinformed
88,1.8,0.00013793297170934144,misinformed
89,1.8,0.00012040542522628369,misinformed
90,1.8,0.00010511045983717447,misinformed
91,1.8,9.176273502973904e-05,misinformed
92,1.8,8.011354880730603e-05,misinformed
93,1.8,6.994610466970667e-05,misinformed
94,1.8,6.107139443809053e-05,misinformed
95,1.8,5.3324616205962713e-05,misinformed
96,1.8,4.656205732658998e-05,misinformed
97,1.8,4.06583815815315e-05,misinformed
98,1.8,3.550426769423573e-05,misinformed
99,1.8,3.100435331335218e-05,misinformed
100,1.8,2.707544463056357e-05,misinformed
1,2.0,0.0005,misinformed
2,2.0,0.0006996999999999999,misinformed
3,2.0,0.0009340254409189998,misinformed
4,2.0,0.0012144490507253133,misinformed
5,2.0,0.001554602057382508,misinformed
6,2.0,0.001970871981218206,misinformed
7,2.0,0.002483091692992449,misinformed
8,2.0,0.0031153290344423596,misinformed
9,2.0,0.0038967782605119367,misinformed
10,2.0,0.0048627402650146655,misinformed
11,2.0,0.00605565464627361,misinformed
12,2.0,0.007526108637516696,misinformed
13,2.0,0.009333690091863637,misinformed
14,2.0,0.011547467762645276,misinformed
15,2.0,0.014245766702841771,misinformed
16,2.0,0.017514758876818005,misinformed
17,2.0,0.021445219407727704,misinformed
18,2.0,0.026126639892214344,misinformed
19,2.0,0.03163781202423867,misinformed
20,2.0,0.038033120652958205,misinformed
21,2.0,0.045324295848435406,misinformed
22,2.0,0.053458474338573266,misinformed
23,2.0,0.06229523963850092,misinformed
24,2.0,0.07158769762447655,misinformed
25,2.0,0.08097491696419316,misinformed
26,2.0,0.08999387344783498,misinformed
27,2.0,0.0981166962514321,misinformed
28,2.0,0.10481254241455251,misinformed
29,2.0,0.10962401103797827,misinformed
30,2.0,0.11223964891973286,misinformed
31,2.0,0.11254197662650545,misinformed
32,2.0,0.11061726775842223,misinformed
33,2.0,0.10672640862198399,misinformed
34,2.0,0.10124880326769489,misinformed
35,2.0,0.0946173764671273,misinformed
36,2.0,0.08726082339078288,misinformed
37,2.0,0.0795624423097196,misinformed
38,2.0,0.07183757415386041,misinformed
39,2.0,0.06432671669520917,misinformed
40,2.0,0.0571993721573573,misinformed
41,2.0,0.050563812664424404,misinformed
42,2.0,0.04447908624431935,misinformed
43,2.0,0.03896691139482526,misinformed
44,2.0,0.03402220772983135,misinformed
