total_ord_inf,total_mis_inf,lambda,beta,frac_ord,diff,total_inf,r0,extra_inf,frac_mis
0.0005025549214599516,0.0005204390463045491,8.0,0.001,0.5,1.7884124844597463e-05,0.0010229939677645007,0.0225,1.7973904053864877e-05,0.5
0.0005025562276028582,0.0005209607229068463,8.2,0.001,0.5,1.8404495303988005e-05,0.0010235169505097045,0.022999999999999996,1.8496886799068647e-05,0.5
0.0005025575350806637,0.0005214829326730785,8.4,0.001,0.5,1.892539759241476e-05,0.0010240404677537424,0.0235,1.90204040431065e-05,0.5
0.0005025588438954149,0.0005220056764201516,8.6,0.001,0.5,1.944683252473676e-05,0.0010245645203155666,0.023999999999999997,1.954445660493076e-05,0.5
0.0005025601540491603,0.0005225289549666415,8.8,0.001,0.5,1.996880091748119e-05,0.0010250891090158019,0.024499999999999997,2.0069045305166032e-05,0.5
0.0005025614655439536,0.000523052769132795,9.0,0.001,0.5,2.0491303588841326e-05,0.0010256142346767487,0.025,2.0594170966112876e-05,0.5
0.000502562778381853,0.0005235771197405354,9.2,0.001,0.5,2.1014341358682395e-05,0.0010261398981223884,0.0255,2.1119834411752582e-05,0.5
0.0005025640925649215,0.0005241020076134673,9.4,0.001,0.5,2.15379150485458e-05,0.0010266661001783889,0.026,2.1646036467753028e-05,0.5
0.0005025654080952235,0.0005246274335768801,9.6,0.001,0.5,2.20620254816566e-05,0.0010271928416721037,0.026499999999999996,2.2172777961467806e-05,0.5
0.0005025667249748314,0.0005251533984577531,9.8,0.001,0.5,2.258667348292167e-05,0.0010277201234325847,0.027,2.2700059721948804e-05,0.5
0.0005025680432058175,0.0005256799030847584,10.0,0.001,0.5,2.3111859878940867e-05,0.0010282479462905758,0.027499999999999997,2.3227882579939917e-05,0.5
0.0005025680432058175,0.0005256799030847584,10.0,0.001,0.5,2.3111859878940867e-05,0.0010282479462905758,0.027499999999999997,2.3227882579939917e-05,0.5
0.0005026357248933145,0.0005527121344269291,20.0,0.001,0.5,5.007640953361462e-05,0.0010553478593202438,0.0525,5.0327795609607894e-05,0.5
0.000502707066806823,0.0005812062748295294,30.0,0.001,0.5,7.849920802270637e-05,0.0010839133416363524,0.0775,7.889327792571653e-05,0.5
0.000502782373731054,0.0006112840579678804,40.0,0.001,0.5,0.00010850168423682637,0.0011140664316989343,0.1025,0.00010904636798829848,0.5
0.0005028619852081279,0.0006430811006241717,50.0,0.001,0.5,0.00014021911541604382,0.0011459430858322996,0.1275,0.0001409230221216637,0.5
0.000502946280629276,0.0006767489368676714,60.0,0.001,0.5,0.00017380265623839536,0.0011796952174969472,0.1525,0.00017467515378631138,0.5
